"'1','2013-06-01','Pictures From the Week in Business'"
"'2','2013-06-02','Many Questions, Few Answers on U.S. Claims of Iran Violations'"
"'3','2013-06-02','Senator John McCain, back from a surprise trip to Syria, offered his bleakest assessment yet of the hostilities there, saying that President Bashar al-Assad, with growing outside backing, was beginning to tighten his grip on power....'"
"'4','2013-06-02','The Sony Pictures Entertainment movie cost $135 million to produce and roughly $100 million to market worldwide. It took in an estimated $27 million from Friday to Sunday....'"
"'5','2013-06-02','I mean really, really wonkish. You have been warned....'"
"'6','2013-06-02','More than 40,000 people live in a 3-mile radius of this large petrochemical complex that uses several flammable and toxic chemicals like butane and hydrogen fluoride.

This plant uses chlorine to make bleach. About 240,000 people live within three miles. The company has said that it plans to switch to safer technology but has not provided details.

On the Michigan side of the river, 72,200 people live within a 3-mile radius of the Detroit Wastewater Treatment Plant, which stores and uses sulfur dioxide and chlorine gas.'"
"'7','2013-06-03','While investigating Sedna Capital, a hedge fund run by Rengan Rajaratnam, the government found communication between him and an SAC trader about tech stocks....'"
"'8','2013-06-03','Homes in struggling markets are being snapped up by big investment companies, shutting out regular buyers and creating concern about soaring prices....'"
"'9','2013-06-03','James Surowiecki, in his column in The New Yorker, argues for faster disclosures of material information as a means of discouraging insider trading. The proposal, however, has drawn skepticism....'"
"'10','2013-06-03','Aggregate madness....'"
"'11','2013-06-03','A prediction of 10 brands that will disappear by next year. Twenty-seven books every entrepreneur should read. How angry customers are actually doing you a favor. Does your small business make you healthier?...'"
"'12','2013-06-04','McCLINTOCK--Michael Robert, age 55, of Larchmont, New York, died on June 2, 2013. He was born to the late George D. McClintock and Aileen McHugh McClintock on August 20, 1957 in Minneapolis, Minnesota. Mike married Cynthia Ann Crowley on June 21, ...'"
"'13','2013-06-04','LOWENSTEIN--Hugh Price, of Mountain Lake, Lake Wales, FL and Linville, NC died June 2, 2013. Born 1930 to Katherine and Melvyn Lowenstein. Graduated from Salisbury School. 1949; attended North Carolina State College; served in U.S. Army in Korea; ...'"
"'14','2013-06-04','McCLINTOCK--Michael R. Of Larchmont, NY and Nantucket, MA. We mourn the sudden passing of our friend Michael. We will forever miss a wonderful husband, father, friend and businessman, who was the life of any party. Our deepest sympathies go to Cyn...'"
"'15','2013-06-04','David Bundy for The New York Times'"
"'16','2013-06-04','The Intellectual Property Exchange International, or IPXI, wants to make the patent licensing marketplace more transparent....'"
"'17','2013-06-04','Still, in designating A.I.G. and GE Capital systemically important, regulators show they are stuck for the most part in the last crisis rather than looking out for the next one, the author contends....'"
"'18','2013-06-04','In our race to keep up with men, we women have forgotten the joys that are given only to us....'"
"'19','2013-06-04','There is hope yet for Windows Phone, the smartphone operating system that could. A new report suggests that Windows Phone may finally be gaining some momentum in the United States, particularly on Verizon Wireless, the largest American wireless ne...'"
"'20','2013-06-04','Many Questions, Few Answers on U.S. Claims of Iran Violations'"
"'21','2013-06-04','James E. Staley, who left JPMorgan Chase this year to join the hedge fund BlueMountain Capital Management, said on a panel at the Bloomberg Hedge Funds Summit that the regulatory changes being developed could present an investment opportunity....'"
"'22','2013-06-04','Streets is an app that adds Street View capability to Apple Maps....'"
"'23','2013-06-04','A man suspected of sending poison-laced letters to President Obama and two other officials was charged in a federal indictment made public Monday. The man, James E. Dutschke, was charged with developing, producing and stockpiling the poison ricin, threatening the president and others and attempting to impede the investigation. The indictment says he mailed the letter in part to retaliate against a rival, an Elvis impersonator who was first suspected in the crime.'"
"'24','2013-06-05','APPLEMAN--Mark. You were the most beautiful person who made my world. I'll love you forever, Marguerite....'"
"'25','2013-06-05','LOWENSTEIN--Hugh Price, of Mountain Lake, Lake Wales, FL and Linville, NC died June 2, 2013. Born 1930 to Katherine and Melvyn Lowenstein. Graduated from Salisbury School, 1949; attended North Carolina State College; served in U.S. Army in Korea; ...'"
"'26','2013-06-05','Monoprice, the Web retailer best known for its low-priced cables, continues to expand its product line with a low price 27-inch high resolution LED computer monitor....'"
"'27','2013-06-05','Credit: Benjamin Norman for The New York Times'"
"'28','2013-06-05','The parent company of Bloomberg News will start its own venture capital firm to invest in start-ups, including some companies that its technology reporters write about, Nicole Perlroth reports in The New York Times....'"
"'29','2013-06-05','David Bundy for The New York Times'"
"'30','2013-06-05','Credit: Ryan Conaty for The New York Times'"
"'31','2013-06-05','Credit: Brian Harkin for The New York Times'"
"'32','2013-06-06','McCLINTOCK--Michael R. The Rye Country Day School Board of Trustees mourns the passing of Mike McClintock, husband of Board President Cynthia McClintock and father of Christina, Clare, and William, and sends them its heartfelt sympathies. Mike's u...'"
"'33','2013-06-06','McCLINTOCK--Michael R. The Rye Country Day School community is in mourning at the passing of Mike McClintock, a caring, supportive parent, loyal friend, and enthusiastic fan at all Wildcat sports events. We will move forward feeling Mike's absence...'"
"'34','2013-06-06','Many Questions, Few Answers on U.S. Claims of Iran Violations'"
"'35','2013-06-06','Knowing what I know now, I see Zeke was using all his best dog language to tell us he was afraid, annoyed, maybe even in pain....'"
"'36','2013-06-06','Classic boho style is getting a grown-up makeover....'"
"'37','2013-06-06','Freshening Up the New Bohemian Look with Florals and Fringe'"
"'38','2013-06-06','Chrysler discovered the problem in February, but held off issuing a recall in order to investigate the problems more thoroughly....'"
"'39','2013-06-06','As Congress debates immigration, countries like Canada and Australia are trying to lure foreign entrepreneurs, Somini Sengupta reports in The New York Times....'"
